#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
1,Mike Trout,LAA,2963,16.40%,22.70%,0.72,0.294,0.42,0.612,1.032,0.318,5.2,0.327,6,8.5,4.7,6,625,267.4,0.425,174
2,Aaron Judge,NYY,3524,15.60%,28.30%,0.55,0.284,0.399,0.593,0.993,0.309,3.7,0.341,4.4,1.8,-2.6,-1.1,705,281.8,0.413,167
3,Yordan Alvarez,HOU,2668,11.90%,20.00%,0.6,0.298,0.39,0.583,0.973,0.285,2.8,0.322,-2.8,-1.4,-8.2,-2.5,521,202.4,0.406,166
4,Juan Soto,3 Tms,4088,18.80%,17.00%,1.1,0.285,0.421,0.532,0.953,0.248,4.2,0.305,-6.9,-1.4,-5.7,-4.1,790,299.8,0.404,158
5,J.D. Martinez,3 Tms,1795,10.80%,23.00%,0.47,0.313,0.388,0.619,1.007,0.306,3.9,0.35,-8.3,-7.1,-4.8,1,360,142.4,0.413,158
6,Shohei Ohtani,2 Tms,3602,12.00%,25.50%,0.47,0.282,0.371,0.575,0.945,0.293,6.6,0.327,0.9,8.7,7.2,9.6,662,231.5,0.393,153
7,Bryce Harper,2 Tms,4315,15.00%,22.40%,0.67,0.283,0.394,0.535,0.929,0.252,4.2,0.328,-13.5,1.5,-6.5,1.6,780,260.6,0.389,144
8,Matt Wallner,MIN,580,10.00%,34.50%,0.29,0.251,0.366,0.5,0.866,0.249,4.2,0.359,1,1.4,0.7,-0.3,97,28.2,0.373,144
9,Mookie Betts,2 Tms,4676,12.00%,14.20%,0.84,0.29,0.379,0.532,0.912,0.242,5.8,0.299,17.4,5.6,14.6,10.7,829,266.6,0.385,144
10,Freddie Freeman,ATL,2870,12.50%,17.40%,0.72,0.306,0.399,0.542,0.94,0.236,4.3,0.336,4.5,1.6,0.3,-1.2,531,181.2,0.393,143
11,Giancarlo Stanton,2 Tms,2142,11.40%,27.20%,0.42,0.273,0.361,0.549,0.91,0.276,2.2,0.319,-6.9,-2.9,-8.2,-1.1,371,113,0.38,142
12,Ronald Acuña Jr.,ATL,3254,11.30%,22.10%,0.51,0.289,0.379,0.525,0.904,0.236,6.6,0.334,15.8,0.4,13.5,14.8,576,183.8,0.384,141
13,Anthony Rendon,2 Tms,2329,12.30%,13.80%,0.89,0.3,0.392,0.532,0.923,0.232,3.5,0.313,6.3,0.1,1.6,-0.5,420,136.2,0.387,140
14,Zack Cozart,CIN,507,12.20%,15.40%,0.79,0.297,0.385,0.548,0.933,0.251,5.3,0.312,-2.7,1,-0.5,0.2,92,30.5,0.392,139
15,Gunnar Henderson,BAL,1473,10.20%,23.90%,0.43,0.268,0.346,0.504,0.85,0.236,6.6,0.315,4.9,1.5,9,0.5,234,58.9,0.363,139
16,Kyle Tucker,HOU,2561,10.80%,16.00%,0.67,0.274,0.353,0.516,0.87,0.242,6,0.284,5.2,1.8,4.7,10.2,417,111,0.367,139
17,Fernando Tatis Jr.,SDP,2248,9.10%,25.00%,0.36,0.279,0.35,0.533,0.883,0.254,6.1,0.326,9.3,1.4,5,7.1,379,105,0.372,138
18,George Springer,2 Tms,2369,10.80%,19.50%,0.55,0.276,0.362,0.521,0.883,0.245,4.1,0.295,4.4,-2.5,3.1,-3.9,399,110.6,0.373,138
19,José Ramírez,CLE,4833,10.50%,12.20%,0.86,0.28,0.358,0.53,0.888,0.25,6.2,0.275,14.1,12.8,16.5,18.1,796,216.5,0.37,137
20,Vladimir Guerrero Jr.,TOR,3540,9.90%,15.60%,0.63,0.288,0.363,0.5,0.863,0.213,3,0.304,-13.3,-7.8,-10,-4.8,578,152.9,0.367,137
21,Kerry Carpenter,DET,868,6.90%,25.60%,0.27,0.276,0.338,0.512,0.85,0.236,4.5,0.33,-2.9,0.9,-0.6,-1.1,136,33,0.361,136
22,Alex Bregman,HOU,4615,12.20%,12.90%,0.94,0.273,0.368,0.483,0.851,0.21,3.9,0.278,-3.4,-3.6,-2.4,-3.1,741,187.1,0.364,136
23,Jose Altuve,HOU,2697,8.80%,13.90%,0.63,0.302,0.368,0.496,0.864,0.194,5,0.321,8.9,-3.9,8.9,1.5,441,112.8,0.367,135
24,Brent Rooker,4 Tms,1410,8.90%,30.90%,0.29,0.258,0.337,0.5,0.836,0.242,3.8,0.327,0.7,0.7,1.3,-0.5,218,49.2,0.357,135
25,Paul Goldschmidt,2 Tms,2037,12.90%,23.90%,0.54,0.282,0.379,0.523,0.902,0.241,4.4,0.334,4.2,4.7,0,0.1,350,102.2,0.378,135
