#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
1,Bo Bichette,TOR,A,19-19,317,8.80%,17.40%,0.51,0.384,0.448,0.623,1.071,0.239,6.7,0.452,1.2,75,37.6,0.476,201
2,Kevin Smith,TOR,A,21-21,204,8.30%,16.20%,0.52,0.355,0.407,0.639,1.046,0.284,8.4,0.397,1.9,45,21.1,0.46,190
3,Alex Kirilloff,MIN,A,20-20,281,8.50%,16.70%,0.51,0.333,0.391,0.607,0.999,0.274,4.3,0.364,-0.3,57,24.6,0.439,176
4,Niko Hulsizer,LAD,A,22-22,256,14.50%,29.30%,0.49,0.268,0.395,0.574,0.969,0.306,5.4,0.339,0.3,51,21.7,0.435,174
5,Peyton Burdick,MIA,A,22-22,288,11.10%,23.30%,0.48,0.307,0.408,0.542,0.95,0.235,6.3,0.38,-1.3,57,23.9,0.433,172
6,Mitch Longo,CLE,A,22-22,232,9.90%,15.10%,0.66,0.361,0.431,0.53,0.961,0.168,7.4,0.416,3.2,47,19.2,0.43,170
7,Griffin Conine,TOR,A,21-21,348,10.90%,35.90%,0.3,0.283,0.371,0.576,0.946,0.293,4.8,0.405,0.3,68,27.5,0.427,169
8,Bradley Jones,TOR,A,22-22,208,10.10%,22.60%,0.45,0.326,0.394,0.56,0.954,0.234,5.7,0.392,-0.2,40,16,0.422,165
9,Roberto Caro,CHC,A,23-24,308,12.70%,20.50%,0.62,0.341,0.435,0.496,0.931,0.155,8.3,0.445,2.9,59,22.7,0.419,163
10,Carmen Benedetti,HOU,A,22-22,295,17.30%,15.90%,1.09,0.332,0.446,0.465,0.91,0.133,2.7,0.396,0.2,57,21.8,0.418,163
11,Brennen Davis,CHC,A,19-19,204,8.80%,18.60%,0.47,0.305,0.381,0.525,0.907,0.22,6.8,0.346,0.3,38,14.2,0.415,160
12,Ryan Noda,TOR,A,22-22,527,20.70%,25.60%,0.81,0.256,0.421,0.484,0.905,0.228,5.9,0.328,1,97,36.2,0.414,160
13,Andrew Young,STL,A,23-23,244,9.00%,22.10%,0.41,0.284,0.379,0.545,0.924,0.261,6,0.331,0.2,45,16.8,0.411,158
14,Elehuris Montero,STL,A,19-19,425,7.80%,19.10%,0.41,0.322,0.381,0.529,0.91,0.207,4.4,0.372,0.3,77,27.7,0.409,157
15,Robbie Podorsky,SDP,A,23-23,229,5.20%,10.50%,0.5,0.366,0.42,0.463,0.883,0.098,8.4,0.411,2.5,41,14.6,0.407,155
16,Wander Franco,TBR,A,18-18,272,11.00%,7.40%,1.5,0.318,0.39,0.506,0.896,0.189,7.1,0.318,-1,49,17.2,0.406,155
17,Fernando Tatis Jr.,SDP,A,18-18,518,14.50%,23.90%,0.6,0.281,0.39,0.52,0.91,0.239,7.1,0.342,-0.4,94,33,0.405,154
18,Jermaine Palacios,MIN,A,20-20,276,4.30%,16.70%,0.26,0.32,0.362,0.544,0.907,0.224,7.3,0.356,-1.5,50,17.4,0.404,154
19,Alek Thomas,ARI,A,19-19,402,10.70%,17.90%,0.6,0.312,0.393,0.479,0.872,0.167,6.6,0.372,-0.4,71,24.4,0.403,153
