#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
1,Jack Suwinski,SDP,A,18-19,973,0.302,1.02,18.50%,41.10%,40.40%,25.30%,7.60%,42.30%,22.70%,35.00%,10.90%,1439,2421,3860
2,Spencer Griffin,LAA,A,21-22,841,0.347,1.38,16.20%,48.60%,35.20%,18.00%,6.20%,39.40%,24.40%,36.20%,13.10%,1396,2068,3464
3,Romer Cuadrado,LAD,A,20-21,870,0.316,1.7,20.00%,50.40%,29.70%,9.60%,7.70%,41.50%,24.70%,33.80%,13.00%,1321,2112,3433
4,Nick Plummer,STL,A,20-21,757,0.309,0.83,18.00%,37.30%,44.80%,25.70%,7.20%,48.10%,22.90%,29.00%,11.80%,1371,1836,3207
5,Will Benson,CLE,A,20-21,765,0.255,0.57,17.80%,29.90%,52.30%,29.70%,18.90%,54.70%,22.90%,22.40%,14.10%,1315,1810,3125
6,Logan Farrar,OAK,A,23-24,763,0.285,1.3,17.00%,46.90%,36.10%,25.80%,7.90%,37.30%,23.50%,39.20%,10.80%,1122,1847,2969
7,Gabriel Garcia,MIL,A,20-21,719,0.269,0.65,17.50%,32.50%,50.00%,27.90%,8.10%,45.10%,26.20%,28.60%,13.00%,1167,1788,2955
8,Adrian Rondon,LAA,A,18-20,787,0.293,1.77,17.80%,52.60%,29.70%,14.50%,6.20%,44.00%,24.90%,31.10%,14.60%,1005,1905,2910
9,Dimas Ojeda,SEA,A,21-22,805,0.33,1.71,20.80%,49.90%,29.30%,14.70%,7.40%,42.50%,27.00%,30.50%,13.20%,970,1904,2874
10,Demi Orimoloye,MIL,A,20-21,763,0.291,1.31,13.40%,49.20%,37.40%,37.00%,8.80%,49.70%,24.00%,26.30%,14.30%,1049,1822,2871
11,Leo Rivas,LAA,A,19-20,663,0.329,0.97,17.00%,40.80%,42.20%,18.90%,2.50%,45.20%,22.70%,32.10%,7.40%,1202,1665,2867
12,Reggie Pruitt,TOR,A,21-22,730,0.347,1.24,19.20%,44.70%,36.10%,16.40%,2.60%,46.20%,24.50%,29.30%,13.00%,1031,1761,2792
13,Carlos Rincon,LAD,A,19-20,708,0.288,0.75,20.10%,34.20%,45.70%,21.70%,14.30%,49.70%,25.40%,24.90%,19.40%,992,1778,2770
14,Justin Lopez,SDP,A,18-19,748,0.289,1.07,17.40%,42.70%,39.90%,23.60%,9.70%,49.70%,21.30%,29.00%,14.20%,898,1783,2681
15,Andrew Bechtold,MIN,A,22-23,669,0.32,1.63,9.80%,55.90%,34.30%,13.10%,5.40%,38.60%,23.10%,38.30%,11.70%,1076,1528,2604
16,Reynaldo Rivera,DET,A,21-22,675,0.314,0.98,23.00%,38.10%,38.80%,11.70%,8.00%,40.80%,25.10%,34.00%,15.60%,889,1686,2575
17,John Sansone,CIN,A,23-24,682,0.299,0.71,17.80%,34.30%,48.00%,22.40%,8.90%,47.30%,28.40%,24.30%,16.10%,942,1629,2571
18,Jordan Pearce,DET,A,22-23,682,0.269,1.05,20.00%,40.90%,39.10%,31.40%,4.70%,49.50%,18.70%,31.90%,11.00%,1028,1497,2525
19,Skyler Weber,OAK,A,23-24,612,0.268,1.07,16.80%,43.00%,40.20%,23.40%,2.50%,44.00%,20.20%,35.80%,9.80%,963,1543,2506
20,Anthony Pereira,DET,A,20-21,686,0.28,1.05,22.10%,39.90%,38.10%,27.70%,4.30%,45.10%,23.40%,31.50%,10.40%,888,1617,2505
21,Miguel Mercedes,OAK,A,21-22,654,0.273,0.9,17.30%,39.10%,43.60%,31.50%,11.40%,49.00%,23.00%,28.10%,16.40%,817,1683,2500
22,Todd Isaacs,CLE,A,21-22,728,0.315,1.33,17.70%,46.90%,35.40%,30.00%,8.10%,56.60%,21.50%,21.90%,17.40%,770,1719,2489
23,Trace Loehr,OAK,A,22-23,681,0.323,1.28,18.00%,46.10%,35.90%,26.10%,3.30%,41.90%,19.90%,38.20%,7.30%,808,1668,2476
24,Michael Beltre,CIN,A,21-22,665,0.315,2.54,15.80%,60.40%,23.80%,11.50%,6.70%,43.60%,22.80%,33.60%,10.60%,974,1477,2451
25,Yan Sanchez,ARI,A,20-21,640,0.318,1.31,21.00%,44.80%,34.20%,7.70%,2.60%,48.50%,25.10%,26.40%,10.70%,852,1571,2423
26,Jacob Pearson,MIN,A,20-21,637,0.276,0.68,7.70%,37.40%,54.90%,20.00%,4.70%,39.10%,25.50%,35.50%,11.90%,897,1521,2418
27,Luke Heyer,LAD,A,21-22,634,0.313,1.16,16.60%,44.90%,38.50%,22.60%,11.60%,45.70%,23.40%,30.90%,14.80%,860,1548,2408
28,Gabriel Maciel,MIN,A,19-20,626,0.347,1.55,18.10%,49.80%,32.10%,18.60%,2.10%,37.80%,24.60%,37.60%,7.90%,869,1530,2399
29,Trey Cabbage,MIN,A,20-22,630,0.343,1,10.90%,44.60%,44.60%,19.50%,9.80%,41.20%,27.40%,31.40%,16.80%,860,1537,2397
30,Gilbert Lara,MIL,A,19-20,686,0.299,1.59,20.00%,49.10%,30.90%,16.60%,5.50%,45.30%,23.70%,31.10%,16.60%,722,1671,2393
31,David Hensley,HOU,A,22-23,586,0.293,1.63,19.80%,49.70%,30.50%,14.40%,9.00%,41.40%,22.40%,36.10%,9.90%,890,1467,2357
32,Harrison Wenson,LAA,A,23-24,529,0.255,0.38,12.80%,23.90%,63.30%,34.10%,13.00%,55.40%,21.00%,23.70%,17.20%,922,1408,2330
33,Ryan Gold,TOR,A,20-21,633,0.304,1.01,20.70%,39.90%,39.40%,23.10%,5.20%,50.40%,23.80%,25.80%,15.10%,782,1526,2308
34,Reinaldo Ilarraza,SDP,A,18-19,631,0.312,1.2,16.60%,45.50%,37.90%,15.30%,2.80%,46.30%,24.00%,29.80%,15.50%,812,1490,2302
35,Jacob Amaya,LAD,A,19-20,589,0.314,1.2,18.10%,44.70%,37.20%,13.60%,5.00%,44.20%,23.00%,32.70%,5.50%,975,1309,2284
36,Ryan Noda,TOR,A,22-22,527,0.328,0.97,21.90%,38.50%,39.60%,19.60%,18.70%,43.10%,31.80%,25.20%,12.90%,1011,1253,2264
37,Joantgel Segovia,MIL,A,20-21,667,0.305,1.34,19.90%,45.90%,34.20%,21.70%,1.70%,39.30%,24.40%,36.30%,8.30%,784,1476,2260
38,Chad McClanahan,MIL,A,20-21,538,0.264,1.19,18.30%,44.50%,37.20%,27.10%,3.40%,46.00%,20.70%,33.30%,14.20%,889,1358,2247
39,Tra Holmes,ARI,A,21-22,601,0.296,2.06,17.30%,55.70%,27.00%,25.30%,3.20%,48.20%,21.10%,30.60%,13.20%,837,1401,2238
40,Chris Betts,TBR,A,21-22,537,0.269,0.57,15.00%,31.00%,54.10%,20.10%,12.60%,50.70%,26.60%,22.70%,14.60%,873,1311,2184
41,Eleardo Cabrera,TBR,A,21-22,616,0.313,2.13,17.00%,56.40%,26.50%,12.60%,4.90%,45.30%,21.10%,33.60%,12.50%,739,1433,2172
42,Gabriel Arias,SDP,A,17-18,568,0.338,2.11,18.00%,55.70%,26.40%,9.90%,6.60%,38.80%,24.40%,36.80%,17.50%,709,1459,2168
43,Zach Clark,MIL,A,21-22,535,0.385,1.34,20.90%,45.30%,33.70%,19.50%,12.60%,44.30%,23.60%,32.10%,14.60%,813,1351,2164
44,Trever Morrison,MIL,A,22-23,570,0.323,1.23,13.60%,47.70%,38.70%,21.10%,3.90%,33.50%,25.30%,41.20%,13.80%,770,1393,2163
45,Taylor Trammell,CIN,A,19-19,571,0.345,0.99,16.00%,41.90%,42.10%,26.80%,8.50%,44.70%,24.90%,30.40%,14.60%,845,1309,2154
46,JaVon Shelby,OAK,A,22-23,522,0.301,0.8,20.30%,35.50%,44.20%,37.80%,9.90%,54.40%,23.40%,22.20%,15.90%,821,1322,2143
47,Chris Torres,MIA,A,21-21,508,0.337,1.67,16.20%,52.50%,31.30%,21.30%,4.50%,41.10%,21.20%,37.70%,11.80%,891,1251,2142
48,J.R. Davis,STL,A,22-23,644,0.296,1.49,15.00%,50.80%,34.20%,24.60%,4.60%,40.50%,26.30%,33.20%,8.60%,720,1419,2139
49,Ariel Sandoval,SEA,A,22-22,525,0.338,0.8,17.10%,36.80%,46.20%,30.40%,13.00%,48.20%,22.40%,29.40%,17.40%,764,1374,2138
50,Yeltsin Gudino,TOR,A,20-21,621,0.307,1.51,18.00%,49.30%,32.70%,22.10%,1.30%,42.20%,23.40%,34.40%,5.80%,804,1334,2138
51,David Fry,MIL,A,22-23,577,0.296,0.62,16.20%,32.00%,51.80%,26.50%,8.30%,55.70%,19.70%,24.60%,13.50%,743,1392,2135
52,Chavez Young,TOR,A,20-20,537,0.344,1.63,21.20%,48.90%,29.90%,16.50%,7.30%,42.00%,22.50%,35.60%,10.70%,837,1294,2131
53,Luis Silverio,ARI,A,22-23,596,0.347,1.4,19.70%,46.80%,33.50%,23.20%,5.80%,42.10%,27.40%,30.50%,13.30%,697,1431,2128
54,Ford Proctor,TBR,A,22-22,536,0.346,1.67,15.10%,53.20%,31.80%,11.20%,5.20%,46.10%,22.80%,31.10%,7.30%,858,1246,2104
55,Taylor Walls,TBR,A,21-21,540,0.354,1.39,22.50%,45.10%,32.40%,10.40%,4.80%,42.20%,25.20%,32.60%,5.70%,880,1222,2102
56,Agustin Ruiz,SDP,A,18-19,527,0.32,1.1,20.00%,41.80%,38.20%,15.10%,3.20%,46.00%,24.60%,29.40%,13.40%,795,1304,2099
57,Jose Herrera,ARI,A,20-22,569,0.27,0.94,16.10%,40.80%,43.20%,20.60%,3.30%,47.10%,25.20%,27.80%,6.50%,850,1240,2090
58,Kyle Nowlin,OAK,A,23-23,490,0.336,1.43,19.10%,47.70%,33.20%,12.00%,12.00%,43.20%,24.90%,31.90%,9.90%,859,1214,2073
59,Wenceel Pérez,DET,A,18-19,587,0.288,1.55,16.00%,51.10%,32.90%,25.70%,2.10%,46.30%,22.20%,31.50%,7.80%,743,1329,2072
60,Cody Thomas,LAD,A,22-22,512,0.279,0.82,19.20%,36.50%,44.30%,16.90%,14.70%,41.70%,26.40%,31.80%,14.90%,719,1348,2067
61,Josh Lowe,TBR,A,19-19,507,0.369,1.42,20.00%,46.90%,33.10%,18.80%,7.90%,37.40%,26.50%,36.10%,12.30%,738,1312,2050
62,Jeter Downs,CIN,A,19-19,524,0.306,0.63,17.90%,31.70%,50.40%,32.60%,7.40%,47.90%,24.50%,27.60%,11.60%,754,1284,2038
63,Yoel Yanqui,ARI,A,22-22,552,0.351,1.84,18.20%,53.00%,28.80%,27.00%,4.50%,41.10%,22.60%,36.30%,8.60%,720,1317,2037
64,Fernando Tatis Jr.,SDP,A,18-18,518,0.342,0.88,19.70%,37.50%,42.70%,19.70%,15.90%,51.10%,26.50%,22.40%,13.30%,838,1192,2030
65,Daz Cameron,HOU,A,20-20,522,0.325,0.85,15.10%,39.10%,45.90%,12.30%,9.00%,41.70%,24.30%,34.00%,9.10%,780,1246,2026
66,Samad Taylor,TOR,A,19-19,530,0.273,0.84,20.20%,36.40%,43.40%,18.10%,5.80%,49.20%,21.50%,29.30%,10.90%,777,1247,2024
67,Ben Rodriguez,MIN,A,23-24,537,0.307,0.87,11.70%,41.00%,47.30%,22.20%,9.50%,46.00%,22.30%,31.80%,13.80%,744,1280,2024
68,Yeiler Peguero,CHC,A,19-20,546,0.294,1.49,12.70%,52.30%,35.00%,23.10%,2.30%,41.30%,27.50%,31.20%,9.40%,741,1282,2023
69,Anfernee Grier,ARI,A,21-21,547,0.319,1.4,15.30%,49.40%,35.20%,25.80%,3.20%,50.10%,23.40%,26.40%,13.60%,764,1254,2018
70,Michael Siani,CIN,A,19-19,531,0.318,1.45,13.40%,51.30%,35.30%,25.00%,4.80%,41.50%,25.70%,32.80%,8.50%,753,1262,2015
71,Dylan Carlson,STL,A,18-19,508,0.315,1.09,17.20%,43.20%,39.60%,15.00%,7.50%,44.40%,27.30%,28.30%,12.00%,805,1204,2009
72,Jonathan Lacroix,HOU,A,21-22,552,0.327,1.08,23.00%,39.90%,37.00%,19.70%,4.70%,44.40%,22.10%,33.50%,16.50%,689,1320,2009
73,Stefan Trosclair,STL,A,22-22,481,0.335,0.85,17.90%,37.80%,44.30%,20.60%,11.50%,46.70%,23.50%,29.80%,12.80%,759,1248,2007
74,Johnny Adams,SEA,A,23-23,522,0.28,0.94,15.00%,41.10%,43.80%,15.10%,7.50%,40.40%,31.90%,27.80%,12.70%,734,1268,2002
75,Andy Weber,CHC,A,21-21,544,0.347,0.92,15.70%,40.40%,43.90%,18.20%,1.80%,43.50%,25.90%,30.60%,10.20%,730,1270,2000
76,Akil Baddoo,MIN,A,19-19,517,0.311,0.84,9.40%,41.40%,49.20%,19.90%,7.30%,42.30%,23.80%,33.90%,13.20%,808,1189,1997
77,Billy Cooke,SEA,A,21-22,499,0.246,0.79,17.00%,36.70%,46.30%,24.80%,2.40%,42.90%,20.20%,36.90%,9.60%,791,1195,1986
78,Austin Filiere,CHC,A,22-22,501,0.338,0.91,19.60%,38.20%,42.20%,24.00%,6.20%,53.50%,23.90%,22.60%,12.40%,734,1251,1985
79,Jeisson Rosario,SDP,A,18-18,521,0.347,1.54,19.80%,48.60%,31.60%,21.20%,2.90%,37.20%,25.80%,37.00%,8.50%,791,1190,1981
80,Parker Meadows,DET,A,19-19,504,0.277,1.18,15.20%,45.90%,38.90%,23.40%,5.50%,37.60%,25.00%,37.40%,11.10%,739,1241,1980
81,Rafael Narea,CHC,A,20-21,561,0.272,1.23,15.20%,46.70%,38.10%,22.00%,1.30%,42.70%,22.80%,34.50%,8.80%,726,1249,1975
82,Luis Rengifo,SEA,A,20-20,554,0.287,1.34,14.80%,48.70%,36.50%,14.70%,8.40%,41.10%,28.90%,30.10%,10.50%,692,1278,1970
83,Isaac Paredes,CHC,A,18-18,517,0.273,0.72,19.70%,33.50%,46.80%,35.00%,6.10%,52.10%,21.80%,26.20%,7.70%,743,1226,1969
84,K.J. Harrison,MIL,A,21-21,466,0.316,0.64,21.80%,30.60%,47.60%,27.90%,9.30%,46.90%,24.00%,29.10%,14.40%,713,1254,1967
85,Kevin Maitan,LAA,A,19-19,532,0.295,1.53,17.80%,49.70%,32.50%,11.50%,11.50%,44.80%,23.80%,31.50%,19.00%,659,1307,1966
86,Yeison Coca,MIL,A,20-20,504,0.286,1.4,13.10%,50.70%,36.20%,15.20%,5.70%,46.40%,20.60%,33.00%,14.30%,679,1285,1964
87,James Outman,LAD,A,22-22,509,0.272,0.63,14.80%,32.80%,52.40%,28.20%,11.70%,47.00%,23.70%,29.30%,12.50%,788,1174,1962
88,Joseph Rosa,SEA,A,20-21,501,0.281,1.07,17.50%,42.70%,39.80%,14.40%,4.80%,45.70%,25.60%,28.70%,9.30%,748,1212,1960
89,Leonel Valera,LAD,A,19-19,504,0.334,1.91,16.10%,55.10%,28.90%,19.30%,5.70%,36.50%,28.60%,34.90%,13.70%,735,1222,1957
90,Brady Whalen,STL,A,21-21,508,0.299,0.78,18.50%,35.80%,45.70%,27.60%,4.50%,49.40%,22.30%,28.30%,10.70%,735,1222,1957
91,J.V. Martinez,CIN,A,20-20,507,0.301,1.24,17.30%,45.80%,36.80%,26.90%,6.70%,46.50%,26.30%,27.20%,13.00%,730,1225,1955
92,Nonie Williams,LAA,A,21-21,490,0.285,0.85,17.10%,38.20%,44.70%,23.60%,5.50%,48.80%,25.40%,25.80%,14.90%,782,1162,1944
93,Daniel Pinero,DET,A,23-23,497,0.33,1.1,26.80%,38.30%,34.90%,16.80%,3.20%,44.50%,19.90%,35.50%,5.50%,747,1192,1939
94,Moisés Gómez,TBR,A,19-19,516,0.35,0.79,25.10%,33.10%,41.80%,13.60%,13.60%,35.90%,27.10%,37.00%,16.80%,650,1289,1939
95,Bryce Denton,STL,A,19-21,528,0.287,1.39,17.10%,48.20%,34.70%,28.20%,8.90%,45.50%,23.20%,31.30%,11.80%,673,1265,1938
96,Brendan Donovan,STL,A,22-22,480,0.322,0.79,19.10%,35.70%,45.20%,13.40%,5.60%,33.10%,33.10%,33.80%,9.00%,777,1157,1934
97,Jesse Berardi,CLE,A,22-23,545,0.295,0.91,19.80%,38.30%,42.00%,21.20%,3.50%,47.20%,20.70%,32.10%,9.50%,671,1256,1927
98,Tristen Lutz,MIL,A,19-19,503,0.322,1.12,15.60%,44.50%,39.90%,20.80%,10.80%,46.20%,21.80%,32.10%,13.90%,702,1224,1926
99,Hudson Potts,SDP,A,18-18,522,0.312,1.06,16.90%,42.70%,40.40%,14.20%,14.20%,43.80%,28.20%,28.00%,14.10%,667,1259,1926
100,Cole Bauml,DET,A,24-25,555,0.329,2.86,23.60%,56.60%,19.80%,10.30%,1.30%,47.80%,20.60%,31.60%,12.50%,693,1232,1925
101,Hunter Hargrove,OAK,A,23-23,525,0.314,0.88,18.10%,38.40%,43.50%,27.50%,5.10%,46.40%,22.10%,31.50%,7.00%,680,1244,1924
102,Delvin Zinn,CHC,A,21-22,497,0.347,1.21,21.40%,43.00%,35.60%,18.40%,2.40%,39.60%,29.40%,31.00%,9.90%,647,1275,1922
103,Danny Woodrow,DET,A,22-22,541,0.332,2.22,18.00%,56.60%,25.50%,12.60%,0.00%,32.70%,29.40%,37.90%,8.70%,692,1220,1912
104,Brandon Riley,STL,A,21-22,494,0.306,1.62,19.80%,49.50%,30.70%,9.10%,1.00%,37.90%,23.00%,39.10%,9.90%,784,1124,1908
105,Miles Gordon,CIN,A,20-21,487,0.266,1.05,15.40%,43.30%,41.40%,37.10%,3.80%,52.70%,24.50%,22.70%,12.20%,716,1181,1897
106,Ronnie Dawson,HOU,A,22-22,505,0.322,1.35,15.90%,48.30%,35.70%,12.60%,11.80%,38.50%,28.80%,32.60%,10.70%,720,1174,1894
107,Joseph Pena,OAK,A,23-23,413,0.291,1.22,16.30%,45.90%,37.80%,31.40%,1.00%,37.10%,20.50%,42.40%,3.30%,762,1129,1891
