#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,Lewin Díaz,MIN,A,20-20,122,466,508,136,90,33,1,12,47,68,25,3,80,6,11,0,13,2,1,0.292
2,Brady Whalen,STL,A,21-21,121,435,508,108,70,30,1,7,57,81,56,1,101,6,11,0,6,0,5,0.248
3,Carl Chester,TBR,A,22-22,105,393,439,112,78,23,6,5,61,63,22,2,67,8,10,6,4,15,7,0.285
4,Blaze Alexander,ARI,A,20-20,97,343,406,90,67,12,4,7,56,47,42,0,89,12,9,0,7,14,4,0.262
5,Ernie De La Trinidad,ARI,A,22-22,91,312,379,97,74,13,2,8,52,56,45,0,48,9,9,0,5,6,7,0.311
6,Agustin Ruiz,SDP,A,18-19,124,458,527,110,75,29,2,4,51,57,53,1,132,6,9,1,12,2,1,0.24
7,Ulrich Bojarski,DET,A,19-20,114,420,457,112,77,20,4,11,58,60,16,0,102,6,9,1,10,6,3,0.267
8,Zachery Almond,ARI,A,23-23,91,313,368,68,46,17,0,5,35,44,43,1,93,2,9,1,3,3,1,0.217
9,Aaron Whitefield,MIN,A,20-20,117,413,460,108,73,18,6,11,66,57,31,1,118,7,8,1,8,33,9,0.262
10,Jack Suwinski,SDP,A,18-19,236,854,973,205,138,37,11,19,121,98,92,1,228,14,8,5,7,13,8,0.24
11,Austin Beck,OAK,A,19-19,123,493,534,146,111,29,4,2,58,60,30,2,117,3,8,0,14,8,6,0.296
12,Logan Farrar,OAK,A,23-24,189,665,763,153,112,22,5,14,84,84,79,4,172,10,8,1,12,7,3,0.23
13,John Sansone,CIN,A,23-24,167,591,682,134,81,32,4,17,76,86,62,1,191,19,8,2,8,8,2,0.227
14,Daniel Pinero,DET,A,23-23,120,422,497,122,88,26,4,4,61,56,57,0,68,7,8,3,12,5,2,0.289
15,Moisés Gómez,TBR,A,19-19,122,471,516,132,72,34,7,19,67,82,34,0,137,3,8,0,11,4,3,0.28
16,Jordan Pearce,DET,A,22-23,170,579,682,127,96,22,1,8,67,68,88,2,136,4,8,3,8,2,1,0.219
17,Colton Shaver,HOU,A,22-22,95,327,378,73,39,18,1,15,44,50,34,0,84,9,8,0,10,2,2,0.223
18,Manny Jefferson,ARI,A,22-23,129,446,502,96,70,20,4,2,44,42,39,0,112,9,8,0,9,7,2,0.215
19,Reynaldo Rivera,DET,A,21-22,177,607,675,142,88,35,6,13,60,81,56,0,191,3,8,1,9,6,2,0.234
20,Daz Cameron,HOU,A,20-20,123,454,522,123,72,29,8,14,80,74,48,2,112,12,7,1,10,32,13,0.271
21,Josh Rojas,HOU,A,23-23,52,195,219,50,30,5,5,10,33,40,15,0,43,2,7,0,1,0,0,0.256
22,Taylor Trammell,CIN,A,19-19,129,491,571,138,91,24,10,13,80,77,71,1,123,1,7,0,4,41,12,0.281
23,Miguel Vargas,LAD,A,18-19,93,355,412,107,78,21,3,5,57,51,45,1,63,4,7,1,10,9,1,0.301
24,Bo Naylor,CLE,A,19-19,107,399,453,97,58,18,10,11,60,65,43,1,104,1,7,3,8,7,5,0.243
25,Wander Franco,TBR,A,18-18,62,233,272,74,47,16,5,6,42,29,30,1,20,2,7,0,2,14,9,0.318
26,Ryan Grotjohn,ARI,A,23-23,80,297,335,90,55,22,6,7,51,49,25,0,54,6,7,0,4,3,5,0.303
27,Brent Diaz,MIL,A,22-23,96,272,332,63,40,14,2,7,35,37,44,0,77,8,7,1,5,7,4,0.232
28,Cobie Fletcher-Vance,OAK,A,21-21,85,293,345,68,49,18,0,1,39,28,39,0,59,6,7,0,9,4,1,0.232
29,Cole Roederer,CHC,A,19-19,108,384,448,86,54,19,4,9,45,60,52,0,112,5,7,0,6,16,5,0.224
30,Luke Persico,OAK,A,21-21,117,446,502,116,82,25,4,5,61,64,46,1,80,2,7,1,11,7,4,0.26
31,Miles Gordon,CIN,A,20-21,120,430,487,90,66,11,8,5,60,33,39,1,113,3,7,8,5,30,10,0.209
32,Reggie Pruitt,TOR,A,21-22,177,636,730,155,115,25,11,4,106,47,73,0,204,10,7,4,6,77,22,0.244
33,Josh Rolette,CLE,A,22-23,120,372,442,80,51,23,1,5,30,48,57,1,119,5,7,1,4,1,1,0.215
34,Adrian Rondon,LAA,A,18-20,193,721,787,152,112,29,2,9,80,70,50,0,231,8,7,1,24,8,5,0.211
35,Ronaldo Hernández,TBR,A,20-20,109,405,449,115,73,20,1,21,68,79,31,1,69,6,7,0,11,10,4,0.284
36,Ramiro Rodriguez,HOU,A,21-21,50,161,207,35,23,7,3,2,24,18,35,0,37,4,7,0,1,15,10,0.217
37,Jim Haley,TBR,A,22-23,107,400,437,129,91,28,2,8,56,61,19,0,69,8,7,3,7,15,2,0.323
38,Ryan Gold,TOR,A,20-21,155,576,633,143,94,34,6,9,56,77,37,0,133,12,7,1,13,6,2,0.248
39,Yariel Gonzalez,STL,A,24-24,107,395,434,123,88,23,1,11,51,64,31,3,58,1,7,0,14,3,1,0.311
40,Jose Herrera,ARI,A,20-22,141,505,569,119,79,33,1,6,43,61,58,1,86,0,6,0,17,2,1,0.236
41,Jose Siri,CIN,A,21-21,126,498,552,146,87,24,11,24,92,76,33,2,130,6,6,9,5,46,12,0.293
42,Nate Mondou,OAK,A,22-22,66,247,288,73,54,16,3,0,31,32,31,2,43,2,6,2,6,8,3,0.296
43,Fernando Tatis Jr.,SDP,A,18-18,117,431,518,121,67,26,7,21,78,69,75,2,124,6,6,0,6,29,15,0.281
44,Miles Mastrobuoni,TBR,A,21-21,104,379,439,100,77,17,3,3,61,39,51,1,66,0,6,3,6,18,7,0.264
45,Jared Young,CHC,A,22-22,69,259,293,81,52,13,6,10,41,53,20,0,47,6,6,2,7,1,0,0.313
46,Jose Miranda,MIN,A,20-20,104,401,439,111,75,22,1,13,52,72,26,0,51,6,6,0,14,0,1,0.277
47,César Salazar,HOU,A,22-23,85,292,329,73,50,16,1,6,33,46,21,0,54,10,6,0,4,5,3,0.25
48,Will Benson,CLE,A,20-21,185,633,765,134,67,23,4,40,98,113,119,3,230,7,6,0,6,30,8,0.212
49,Nick Allen,OAK,A,19-19,121,460,512,110,87,17,6,0,51,34,34,1,85,9,6,3,6,24,8,0.239
50,Jacob Amaya,LAD,A,19-20,130,484,589,127,90,26,4,7,81,63,94,1,101,4,6,1,12,7,7,0.262
51,Brandon Hughes,CHC,A,22-22,110,375,422,89,71,14,0,4,46,35,33,0,111,5,6,3,6,22,10,0.237
52,David Fry,MIL,A,22-23,136,513,577,132,73,41,1,17,66,70,50,1,114,6,6,2,5,7,4,0.257
53,Billy Cooke,SEA,A,21-22,137,419,499,71,59,8,1,3,39,24,54,1,146,16,6,4,7,19,11,0.169
54,Hunter Hargrove,OAK,A,23-23,126,469,525,136,99,28,0,9,59,68,37,3,61,11,6,2,13,1,0,0.29
55,Jancarlos Cintron,ARI,A,23-23,97,342,377,102,74,19,2,7,51,39,18,0,45,11,6,0,7,3,4,0.298
56,Ryan Costello,SEA,A,22-22,101,346,406,92,50,24,2,16,48,70,51,0,82,3,6,0,7,2,4,0.266
57,Jeisson Rosario,SDP,A,18-18,117,436,521,118,93,17,5,3,79,34,66,2,108,5,6,8,4,18,12,0.271
58,Ben Rodriguez,MIN,A,23-24,138,481,537,114,68,30,1,15,66,63,45,1,150,5,6,0,19,2,2,0.237
59,Austin Upshaw,CHC,A,20-21,92,350,385,83,62,14,1,6,37,46,23,1,63,3,6,3,7,1,2,0.237
60,Jacob Pearson,MIN,A,20-21,160,565,637,129,89,25,4,11,86,68,62,0,132,3,6,1,2,18,10,0.228
61,Tristen Lutz,MIL,A,19-19,119,444,503,109,60,33,3,13,63,63,46,0,139,6,6,1,11,9,3,0.245
62,Spencer Griffin,LAA,A,21-22,204,727,841,168,126,19,13,10,111,75,99,0,268,7,6,2,16,23,11,0.231
63,Will Banfield,MIA,A,19-19,101,397,433,79,55,13,2,9,44,55,25,0,121,5,6,0,8,0,0,0.199
64,Mitch Nay,TOR,A,23-23,61,252,275,56,35,9,2,10,26,40,15,0,57,2,6,0,7,0,0,0.222
