#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
1,Jarred Kelenic,SEA,A,19-19,218,11.50%,20.60%,0.56,0.309,0.394,0.586,0.981,0.277,6.1,0.356,-0.2,45,20.3,0.439,181
2,Brett Cumberland,ATL,A,22-22,236,13.10%,25.80%,0.51,0.263,0.432,0.531,0.964,0.269,4.3,0.33,0.1,48,20.6,0.432,176
3,Trey Harris,ATL,A,22-23,324,8.30%,13.90%,0.6,0.343,0.412,0.535,0.947,0.192,5.7,0.383,-0.2,65,27,0.425,172
4,Kyle Datres,COL,A,23-23,379,12.40%,21.40%,0.58,0.286,0.397,0.54,0.937,0.254,7.7,0.341,1.3,74,30.5,0.422,170
5,Yanio Perez,TEX,A,21-21,204,8.80%,16.70%,0.53,0.322,0.392,0.533,0.925,0.211,4.6,0.353,0.5,39,15.3,0.416,166
6,Chad Spanberger,COL,A,22-22,380,5.30%,21.60%,0.24,0.315,0.363,0.579,0.942,0.264,6.8,0.355,1.6,73,27.9,0.409,163
7,Brewer Hicklen,KCR,A,22-22,347,6.90%,28.20%,0.24,0.307,0.378,0.552,0.93,0.245,8,0.395,3.4,66,25.2,0.408,162
8,Tanner Nishioka,BOS,A,23-23,343,9.00%,20.40%,0.44,0.322,0.401,0.512,0.912,0.189,4.3,0.389,-0.4,65,24.8,0.407,161
9,Terrin Vavra,COL,A,22-22,453,13.70%,13.70%,1,0.318,0.409,0.489,0.899,0.171,5.1,0.35,-0.1,84,31.2,0.407,160
10,Casey Golden,COL,A,23-23,524,7.30%,34.40%,0.21,0.278,0.359,0.562,0.921,0.284,7.1,0.378,1.6,98,36.6,0.404,160
11,Colton Welker,COL,A,19-19,279,6.50%,15.10%,0.43,0.35,0.401,0.5,0.901,0.15,3.2,0.399,-1.9,51,18.7,0.405,158
12,Carter Kieboom,WSN,A,19-19,210,13.30%,19.00%,0.7,0.296,0.4,0.497,0.897,0.201,3.1,0.344,-0.5,38,13.9,0.404,158
13,Laz Rivera,CHW,A,23-23,265,2.30%,18.10%,0.13,0.346,0.395,0.502,0.897,0.156,6.2,0.413,0.2,49,18,0.402,158
14,Kyle Mottice,PIT,A,23-23,222,11.70%,11.30%,1.04,0.316,0.466,0.363,0.828,0.047,6,0.37,0.7,40,14.7,0.403,158
15,Hunter Owen,PIT,A,23-23,343,7.00%,19.80%,0.35,0.292,0.388,0.505,0.893,0.213,5.4,0.343,-0.3,62,22.4,0.403,157
16,Daniel Johnson,WSN,A,21-21,364,6.00%,19.20%,0.31,0.3,0.361,0.529,0.89,0.229,6.6,0.333,-1.3,64,22.7,0.399,154
17,Canaan Smith-Njigba,NYY,A,20-20,528,14.00%,20.50%,0.69,0.307,0.405,0.465,0.871,0.158,5.2,0.381,1.5,94,32.9,0.398,154
18,Curtis Terry,TEX,A,22-22,259,5.40%,25.90%,0.21,0.263,0.328,0.56,0.889,0.297,2.5,0.301,-0.4,45,15.6,0.395,152
19,Michael Paez,NYM,A,22-22,263,10.30%,21.30%,0.48,0.29,0.376,0.509,0.885,0.219,5.2,0.345,-0.5,46,15.6,0.395,152
20,Braden Shewmake,ATL,A,21-21,226,9.30%,12.80%,0.72,0.318,0.389,0.473,0.862,0.154,6.8,0.359,0.9,39,13.4,0.394,151
21,Darick Hall,PHI,A,21-21,477,6.10%,23.10%,0.26,0.272,0.34,0.533,0.872,0.261,2,0.303,-0.2,81,26.3,0.389,148
22,Tyreque Reed,TEX,A,21-22,665,9.90%,24.40%,0.41,0.273,0.356,0.509,0.865,0.235,2.7,0.325,0.2,114,36.2,0.386,147
23,Estevan Florial,NYY,A,19-19,389,10.50%,31.90%,0.33,0.297,0.373,0.483,0.855,0.186,7.4,0.431,0.4,65,20.5,0.386,146
24,Drew Waters,ATL,A,19-19,365,5.80%,19.70%,0.29,0.303,0.353,0.513,0.867,0.211,8.3,0.362,2,62,19.4,0.383,145
25,Ji Hwan Bae,PIT,A,19-19,380,11.30%,20.30%,0.56,0.323,0.403,0.43,0.833,0.107,8.2,0.417,1.7,64,19.8,0.384,145
26,Julio Rodríguez,SEA,A,18-18,295,6.80%,22.40%,0.3,0.293,0.359,0.49,0.85,0.198,3.9,0.353,-1.1,49,15.3,0.384,145
27,Alex Destino,CHW,A,22-23,488,10.50%,24.20%,0.43,0.295,0.375,0.47,0.845,0.174,2.5,0.37,-0.5,82,25.2,0.384,145
28,Devlin Granberg,BOS,A,23-23,420,10.70%,18.80%,0.57,0.286,0.386,0.434,0.82,0.148,5.3,0.344,-0.5,69,20.3,0.379,142
29,Josh Breaux,NYY,A,21-21,216,6.90%,27.30%,0.25,0.271,0.324,0.518,0.842,0.246,1.2,0.32,0,35,10.3,0.378,141
30,Jake Scheiner,PHI,A,22-22,517,9.50%,15.70%,0.6,0.296,0.372,0.47,0.842,0.174,5.1,0.333,-0.4,85,24.4,0.375,140
31,Bobby Wernes,COL,A,22-22,293,10.20%,14.70%,0.7,0.29,0.376,0.448,0.824,0.159,3.3,0.33,-0.3,47,13.4,0.377,140
32,Emmanuel Rivera,KCR,A,21-21,508,6.10%,17.10%,0.36,0.31,0.364,0.468,0.832,0.157,4.5,0.359,-2.6,81,23.1,0.377,140
33,Alex Kowalczyk,TEX,A,23-23,376,6.40%,22.10%,0.29,0.305,0.375,0.449,0.824,0.144,2.9,0.38,-0.2,60,17,0.376,140
34,Seby Zavala,CHW,A,23-23,207,6.30%,25.10%,0.25,0.259,0.327,0.514,0.84,0.254,2,0.289,-0.1,33,9.3,0.376,139
35,Mason Martin,PIT,A,19-20,528,12.10%,31.30%,0.39,0.242,0.342,0.494,0.836,0.253,5.2,0.311,0.5,85,23.8,0.375,139
36,Michael Gigliotti,KCR,A,21-23,403,10.20%,18.40%,0.55,0.304,0.392,0.416,0.808,0.112,6.8,0.376,2.5,64,18,0.374,139
37,Greg Cullen,ATL,A,22-22,568,12.50%,17.60%,0.71,0.27,0.393,0.401,0.794,0.132,4.4,0.325,-1.3,91,25,0.374,138
38,Seuly Matias,KCR,A,19-19,376,6.40%,34.80%,0.18,0.231,0.303,0.55,0.853,0.32,5.8,0.264,1.2,61,16.7,0.372,138
39,John Cresto,COL,A,22-22,262,5.30%,28.20%,0.19,0.28,0.34,0.485,0.825,0.205,5.4,0.377,2,42,11.3,0.372,137
40,Jeremy Vasquez,NYM,A,21-21,334,12.90%,19.50%,0.66,0.289,0.383,0.437,0.82,0.148,2.7,0.35,0.1,54,14.5,0.37,137
41,Isiah Gilliam,NYY,A,20-20,511,10.80%,21.70%,0.5,0.275,0.356,0.468,0.825,0.194,5.5,0.329,-0.4,80,21.6,0.372,137
42,Skyler Ewing,SFG,A,24-24,354,10.20%,20.60%,0.49,0.246,0.359,0.455,0.813,0.209,3.3,0.28,-0.3,55,14.9,0.372,137
43,Tres Barrera,WSN,A,22-22,268,8.60%,21.60%,0.4,0.278,0.354,0.464,0.819,0.186,3.2,0.335,0.1,42,11.2,0.372,136
44,Steven Sensley,NYY,A,21-22,347,7.50%,24.80%,0.3,0.272,0.343,0.49,0.833,0.218,3.9,0.333,-1.2,55,14.7,0.37,136
45,Jose Gomez,COL,A,20-20,351,5.10%,16.20%,0.32,0.324,0.374,0.437,0.811,0.113,6,0.384,-0.9,55,14.6,0.371,136
46,Robert Neustrom,BAL,A,22-22,207,10.60%,17.90%,0.59,0.285,0.364,0.453,0.817,0.168,5.6,0.329,1,33,8.6,0.37,136
47,Tyler Nevin,COL,A,20-20,335,8.10%,16.70%,0.48,0.305,0.364,0.456,0.821,0.151,5.6,0.349,-0.1,52,13.8,0.371,136
48,Triston Casas,BOS,A,19-19,493,11.80%,23.50%,0.5,0.254,0.349,0.472,0.82,0.218,4.6,0.3,-0.3,77,20.3,0.37,136
49,William Contreras,ATL,A,20-20,342,8.50%,21.30%,0.4,0.293,0.36,0.463,0.822,0.169,3.4,0.351,-0.2,54,14.3,0.368,136
50,Josh Stowers,NYY,A,22-22,460,13.90%,26.70%,0.52,0.273,0.386,0.4,0.786,0.127,6,0.383,0.5,72,18.6,0.369,135
51,Vince Fernandez,COL,A,21-21,428,10.30%,28.50%,0.36,0.269,0.352,0.464,0.816,0.195,4.5,0.356,-1,66,17.1,0.369,135
52,Jonah Davis,PIT,A,21-21,359,9.20%,36.20%,0.25,0.249,0.327,0.489,0.816,0.24,4.4,0.351,-2.7,56,14.3,0.368,135
53,Sheldon Neuse,WSN,A,22-22,321,7.80%,20.60%,0.38,0.291,0.349,0.469,0.818,0.178,6,0.347,0.3,49,12.6,0.369,134
54,Brian Miller,MIA,A,21-21,258,8.90%,13.60%,0.66,0.322,0.384,0.416,0.8,0.094,6.6,0.374,1.7,40,10.1,0.368,134
55,Jack Herman,PIT,A,19-19,300,9.30%,29.30%,0.32,0.257,0.34,0.464,0.804,0.208,5.3,0.333,-1.3,46,11.7,0.367,134
56,Boo Vazquez,MIA,A,24-24,277,9.70%,26.00%,0.38,0.281,0.362,0.446,0.809,0.165,4.1,0.373,-2.1,42,10.7,0.367,134
57,Albert Baur,PIT,A,25-25,442,9.30%,19.00%,0.49,0.298,0.367,0.439,0.805,0.14,1.5,0.357,-0.2,68,17,0.367,134
58,Justin Dean,ATL,A,21-22,629,11.60%,22.60%,0.51,0.279,0.375,0.417,0.792,0.138,8.7,0.361,5.9,97,24.2,0.366,133
59,Scott Manea,NYM,A,22-22,405,8.60%,16.30%,0.53,0.261,0.368,0.432,0.8,0.171,1.5,0.291,0.1,63,15.7,0.364,133
60,Bret Boswell,COL,A,23-23,413,5.10%,24.90%,0.2,0.288,0.331,0.496,0.827,0.208,6,0.351,-0.6,64,16,0.364,133
61,Kole Cottam,BOS,A,21-22,320,13.80%,24.70%,0.56,0.252,0.375,0.406,0.781,0.154,2.4,0.335,-0.1,49,12.1,0.365,133
62,Adam Hall,BAL,A,20-20,534,8.40%,21.90%,0.38,0.298,0.385,0.395,0.78,0.097,7,0.387,2.9,82,20.1,0.365,133
63,James Nelson,MIA,A,19-19,432,6.00%,24.50%,0.25,0.309,0.354,0.456,0.81,0.147,4.5,0.399,0.2,65,15.8,0.365,132
64,Sherten Apostel,TEX,A,20-20,319,8.80%,22.30%,0.39,0.258,0.332,0.47,0.802,0.212,3.2,0.29,-0.1,49,11.7,0.364,132
65,Danny Edgeworth,COL,A,23-23,274,11.30%,26.30%,0.43,0.272,0.369,0.413,0.782,0.14,3.6,0.361,-0.1,42,9.9,0.363,131
66,Matt Vierling,PHI,A,21-21,204,4.90%,18.60%,0.26,0.293,0.342,0.473,0.814,0.179,3.5,0.336,-1,31,7.4,0.361,131
67,Oneil Cruz,PIT,A,18-19,506,8.30%,24.10%,0.34,0.278,0.34,0.477,0.817,0.199,6.7,0.344,0.2,78,18.3,0.361,131
68,Carlos Munoz,PIT,A,23-23,422,12.80%,9.70%,1.32,0.275,0.386,0.39,0.776,0.115,2.1,0.297,-1,63,14.9,0.363,131
69,Matt Winaker,NYM,A,22-22,516,12.00%,17.10%,0.7,0.254,0.37,0.433,0.803,0.179,5.1,0.286,-0.4,79,18.5,0.361,131
70,Sam Huff,TEX,A,20-21,562,5.20%,31.50%,0.16,0.26,0.308,0.512,0.82,0.252,5.7,0.327,1.8,86,19.9,0.361,131
71,Patrick Dorrian,PIT,A,23-23,255,11.00%,25.10%,0.44,0.256,0.346,0.443,0.789,0.187,7.3,0.329,0.8,38,8.6,0.36,129
72,Zach Sterry,BOS,A,24-24,230,10.00%,23.50%,0.43,0.291,0.37,0.424,0.793,0.133,2.9,0.372,0,35,7.9,0.358,129
73,Travis Jones,KCR,A,22-22,261,6.50%,21.50%,0.3,0.285,0.368,0.417,0.784,0.132,6.5,0.355,0,39,8.8,0.358,129
74,MJ Melendez,KCR,A,19-19,472,9.10%,30.30%,0.3,0.251,0.322,0.492,0.814,0.241,4.7,0.327,-1.6,71,15.7,0.357,128
75,Brandon Wagner,NYY,A,21-21,439,13.00%,26.40%,0.49,0.277,0.38,0.392,0.773,0.116,3,0.381,0,64,14.1,0.359,128
76,Brandon Brosher,NYM,A,22-22,261,11.50%,39.50%,0.29,0.221,0.346,0.433,0.779,0.212,3.7,0.343,0.3,38,8.3,0.359,128
