#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
1,Meibrys Viloria,KCR,A,20-20,398,0.31,1.99,14.60%,56.80%,28.60%,16.30%,10.00%,38.40%,24.60%,37.00%,10.10%,611,1026,1637
2,Tyler Nevin,COL,A,20-20,335,0.349,1.28,21.30%,44.20%,34.60%,15.70%,8.40%,39.40%,25.30%,35.30%,11.40%,414,767,1181
3,Hoy Park,NYY,A,21-21,373,0.31,1.55,23.70%,46.30%,30.00%,29.90%,7.80%,46.90%,22.90%,30.20%,8.40%,604,915,1519
4,Ali Sánchez,NYM,A,20-21,405,0.269,1.62,16.80%,51.40%,31.80%,25.50%,4.90%,45.30%,24.50%,30.20%,6.60%,386,896,1282
5,Donny Sands,NYY,A,21-21,314,0.321,1.48,20.20%,47.60%,32.20%,22.70%,2.70%,45.20%,23.40%,31.40%,6.40%,436,715,1151
6,Yohel Pozo,TEX,A,20-21,615,0.295,1.34,21.30%,45.10%,33.60%,22.40%,7.10%,46.50%,22.80%,30.70%,6.30%,591,1330,1921
7,Curtis Terry,TEX,A,22-22,259,0.301,0.78,18.70%,35.50%,45.80%,31.60%,19.70%,50.60%,28.00%,21.40%,13.20%,337,643,980
8,Seby Zavala,CHW,A,23-23,207,0.289,0.72,15.40%,35.40%,49.20%,26.60%,20.30%,51.90%,23.00%,25.20%,18.10%,230,499,729
9,Leody Taveras,TEX,A,18-18,577,0.287,1.48,18.20%,48.80%,33.00%,27.10%,5.70%,37.50%,24.30%,38.20%,9.00%,770,1332,2102
10,Estevan Florial,NYY,A,19-19,389,0.431,2.05,21.60%,52.80%,25.70%,5.40%,19.60%,46.60%,26.00%,27.40%,15.20%,581,942,1523
11,Yonny Hernández,TEX,A,20-20,443,0.311,1.99,18.90%,54.00%,27.10%,24.10%,2.50%,30.50%,25.10%,44.40%,4.90%,627,1008,1635
12,Símon Muzziotti,PHI,A,19-19,299,0.303,2.15,20.90%,54.00%,25.10%,16.90%,1.70%,32.80%,20.50%,46.70%,8.50%,294,684,978
13,Sheldon Neuse,WSN,A,22-22,321,0.347,1.57,15.10%,51.80%,33.00%,8.30%,12.50%,34.30%,28.70%,37.00%,12.10%,421,767,1188
14,Daniel Johnson,WSN,A,21-21,364,0.333,0.95,20.70%,38.70%,40.60%,26.00%,16.30%,36.00%,26.80%,37.20%,13.60%,393,806,1199
15,Jake Noll,WSN,A,23-23,438,0.28,0.85,15.60%,38.60%,45.70%,29.00%,10.30%,41.00%,26.00%,32.90%,10.10%,491,965,1456
16,Darick Hall,PHI,A,21-21,477,0.303,0.97,20.90%,38.90%,40.20%,22.80%,21.30%,49.50%,26.20%,24.30%,15.90%,616,1116,1732
17,Zach Remillard,CHW,A,23-23,529,0.312,1.02,21.30%,39.80%,38.90%,18.70%,5.00%,49.20%,25.10%,25.70%,13.20%,556,1236,1792
18,Charles Leblanc,TEX,A,21-21,217,0.294,0.97,25.80%,36.50%,37.70%,11.70%,6.70%,42.70%,22.60%,34.80%,7.40%,292,456,748
19,Emmanuel Rivera,KCR,A,21-21,508,0.359,2.02,22.10%,52.10%,25.80%,11.30%,12.40%,40.30%,25.00%,34.70%,10.30%,600,1131,1731
20,Gavin Sheets,CHW,A,21-21,218,0.308,0.95,17.30%,40.40%,42.30%,18.20%,4.50%,44.40%,22.50%,33.10%,7.20%,338,507,845
21,Diego A. Castillo,NYY,A,19-19,510,0.293,2.13,23.60%,52.00%,24.40%,24.70%,1.00%,37.40%,20.40%,42.20%,6.90%,539,1152,1691
22,Anderson Tejeda,TEX,A,19-19,446,0.343,1.03,26.80%,37.20%,36.10%,27.80%,8.20%,44.40%,28.40%,27.30%,15.90%,570,1106,1676
23,Sandro Fabian,SFG,A,19-19,504,0.317,1.27,23.30%,42.90%,33.80%,21.70%,8.50%,48.60%,21.90%,29.40%,12.40%,437,1188,1625
24,Blake Perkins,WSN,A,20-20,572,0.318,1.87,14.10%,56.00%,29.90%,15.70%,7.40%,40.20%,28.00%,31.70%,9.00%,938,1399,2337
25,Ryan McKenna,BAL,A,20-20,530,0.336,1.22,16.60%,45.80%,37.70%,16.00%,5.60%,46.00%,24.90%,29.20%,12.10%,697,1257,1954
26,Luke Williams,PHI,A,20-20,442,0.268,1.14,19.40%,43.00%,37.60%,28.80%,0.80%,46.30%,25.80%,27.90%,9.80%,561,1025,1586
27,Cristian Pache,ATL,A,18-18,514,0.36,1.87,20.10%,52.10%,27.90%,31.00%,0.00%,50.40%,26.10%,23.50%,12.70%,560,1159,1719
28,Andrés Giménez,NYM,A,18-18,399,0.31,1.99,19.50%,53.50%,27.00%,17.10%,5.30%,37.20%,26.60%,36.20%,9.00%,498,1033,1531
29,Khalil Lee,KCR,A,19-19,532,0.338,1.56,21.60%,47.80%,30.60%,18.80%,20.00%,42.70%,27.30%,30.10%,12.70%,827,1316,2143
30,Mickey Moniak,PHI,A,19-19,509,0.293,1.43,18.70%,47.80%,33.50%,11.70%,4.20%,43.70%,26.20%,30.10%,14.40%,605,1155,1760
31,Blake Rutherford,NYY,A,20-20,440,0.315,1.79,19.40%,51.70%,28.80%,18.50%,2.20%,37.30%,24.40%,38.30%,11.00%,553,974,1527
32,Carter Kieboom,WSN,A,19-19,210,0.344,1.6,14.60%,52.60%,32.80%,24.40%,17.80%,56.80%,18.00%,25.20%,9.80%,315,501,816
33,Colton Welker,COL,A,19-19,279,0.399,1.44,26.10%,43.60%,30.30%,14.10%,9.40%,40.50%,28.80%,30.70%,9.30%,329,600,929
34,Bobby Dalbec,BOS,A,22-22,329,0.383,0.93,27.80%,34.80%,37.30%,15.30%,22.00%,44.80%,28.20%,27.00%,14.30%,585,859,1444
35,Tres Barrera,WSN,A,22-22,268,0.335,1.03,20.20%,40.40%,39.30%,27.10%,11.40%,55.80%,24.90%,19.30%,10.60%,368,624,992
36,Santiago Espinal,BOS,A,22-22,544,0.314,1.4,20.40%,46.40%,33.20%,12.90%,2.90%,38.90%,26.00%,35.20%,5.70%,765,1360,2125
37,Hunter Owen,PIT,A,23-23,343,0.343,0.93,20.00%,38.60%,41.40%,6.60%,12.10%,55.50%,24.70%,19.80%,13.80%,449,788,1237
38,Brian Miller,MIA,A,21-21,258,0.374,3.05,21.80%,58.90%,19.30%,13.20%,2.60%,32.70%,25.10%,42.20%,7.10%,341,621,962
39,Luis González,CHW,A,21-22,532,0.332,1.24,19.70%,44.40%,35.90%,19.00%,7.90%,46.70%,22.70%,30.70%,7.80%,836,1323,2159
40,Luis García Jr.,WSN,A,18-18,323,0.343,2.11,20.60%,53.80%,25.50%,15.90%,4.80%,46.90%,24.40%,28.70%,10.50%,335,732,1067
41,Brewer Hicklen,KCR,A,22-22,347,0.395,0.93,21.90%,37.60%,40.50%,18.80%,20.00%,53.30%,23.10%,23.60%,14.90%,436,829,1265
42,William Contreras,ATL,A,20-20,342,0.351,1.38,21.30%,45.70%,33.00%,17.10%,14.50%,43.50%,30.80%,25.70%,13.30%,448,804,1252
43,Drew Waters,ATL,A,19-19,365,0.362,1.9,21.40%,51.50%,27.10%,11.30%,12.70%,43.60%,21.40%,35.00%,11.50%,444,855,1299
44,José Devers,MIA,A,18-18,362,0.318,2.91,19.20%,60.10%,20.60%,25.90%,0.00%,47.40%,18.80%,33.80%,9.70%,368,821,1189
45,Carlos Pérez,CHW,A,21-21,286,0.313,1.38,18.40%,47.30%,34.30%,21.40%,3.60%,51.40%,24.10%,24.50%,7.10%,255,591,846
