#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,Marten Gasparini,KCR,A,20-21,225,749,829,168,115,35,5,13,86,84,50,0,240,3,6,20,6,36,20,0.224
2,Lolo Sanchez,PIT,A,19-20,175,604,704,160,117,28,7,8,100,60,58,1,100,17,7,18,7,50,23,0.265
3,Corey Bird,MIA,A,21-21,81,279,331,82,63,13,5,1,41,30,28,0,59,3,4,17,5,23,9,0.294
4,Ricky Aracena,KCR,A,19-21,128,424,471,97,82,12,0,3,52,47,22,0,99,4,5,16,2,20,11,0.229
5,Yonny Hernández,TEX,A,20-20,115,361,443,94,77,12,3,2,56,40,58,0,65,7,2,15,12,44,15,0.26
6,Max George,COL,A,21-23,142,493,588,124,78,30,3,13,74,54,60,0,104,17,3,15,1,38,11,0.252
7,Jeison Guzmán,KCR,A,19-20,181,659,726,164,113,34,8,9,78,69,43,0,156,7,2,15,12,27,17,0.249
8,Justin Connell,WSN,A,20-20,120,433,510,108,84,20,1,3,59,38,49,0,75,10,4,14,7,13,10,0.249
9,Kervin Suarez,BOS,A,19-20,179,691,753,151,99,36,7,9,96,64,39,1,258,6,3,14,4,29,15,0.219
10,Zach Remillard,CHW,A,23-23,133,484,529,119,83,27,2,7,54,50,19,0,124,7,6,13,2,4,3,0.246
11,Diego A. Castillo,NYY,A,19-19,118,463,510,122,103,15,3,1,66,42,31,0,51,1,2,13,12,9,5,0.263
12,Ryan Vilade,COL,A,19-19,124,457,533,125,96,20,4,5,77,44,49,1,96,9,4,13,8,17,13,0.274
13,Aaron Knapp,MIA,A,22-23,140,493,598,113,89,11,7,6,69,45,78,0,158,6,8,13,2,38,16,0.229
14,Armond Upshaw,WSN,A,22-23,175,572,658,130,104,17,5,4,70,53,64,0,195,6,4,12,7,42,14,0.227
15,Philip Caulfield,WSN,A,23-24,59,189,219,43,29,8,2,4,19,30,13,1,43,4,2,11,2,2,2,0.228
16,Cade Harris,COL,A,22-22,79,223,281,49,35,7,0,7,43,19,41,0,93,3,2,11,2,8,5,0.22
17,Jose Antequera,PHI,A,21-22,87,249,295,59,47,10,0,2,27,29,23,0,52,6,6,11,3,2,6,0.237
18,Eduardo Navas,NYY,A,21-23,167,521,584,95,75,15,0,5,51,42,34,1,162,15,3,11,17,0,0,0.182
19,Frederick Cuevas,NYY,A,20-21,127,435,483,97,66,26,3,2,42,38,31,0,117,3,3,11,7,6,2,0.223
20,Derian Cruz,ATL,A,18-20,166,597,647,124,90,24,6,4,66,49,25,0,174,11,3,11,8,11,12,0.208
21,Johan Cruz,CHW,A,22-23,136,463,533,116,86,20,3,7,62,62,50,0,100,4,6,10,7,3,2,0.251
22,Rubendy Jaquez,KCR,A,20-20,114,403,466,98,69,20,3,6,65,44,44,2,102,4,5,10,8,30,5,0.243
23,Everlouis Lozada,BOS,A,19-20,162,597,665,140,103,28,2,7,69,55,48,0,161,7,3,10,12,5,7,0.235
24,Luis Pintor,MIA,A,22-22,119,386,453,91,71,14,2,4,60,43,43,0,64,10,4,10,10,9,5,0.236
25,Oswaldo Cabrera,NYY,A,18-19,215,803,879,188,142,35,1,10,85,85,54,0,112,4,9,9,22,10,9,0.234
