Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,"Webster Rivas","LAA","A",25,26,86,98,19,12,7,0,0,7,9,7,0,13,1,2,2,1,0,0,0.220930232,"14636"
2017,"Webster Rivas","SDP","A",26,25,69,78,16,12,3,0,1,3,7,9,0,13,0,0,0,3,0,0,0.231884057,"14636"
2016,"Gosuke Katoh","NYY","A",21,65,218,253,50,32,14,3,1,30,25,26,0,66,4,2,3,1,6,1,0.229357798,"15697"
2016,"Yonathan Daza","COL","A",22,119,475,516,146,106,35,2,3,63,58,23,1,78,2,2,14,9,2,7,0.307368421,"15794"
2016,"Jose Godoy","STL","A",21,80,287,327,84,72,11,0,1,36,31,29,3,34,8,2,1,11,1,1,0.292682926,"15808"
2016,"Luis Torrens","NYY","A",20,40,139,164,32,24,6,0,2,9,10,22,0,26,3,0,0,7,1,1,0.230215827,"15905"
2016,"Deivy Grullon","PHI","A",20,87,320,356,82,56,20,0,6,29,45,30,0,83,2,4,0,10,0,3,0.25625,"15988"
2016,"Michael Hermosillo","LAA","A",21,37,138,160,45,34,8,1,2,22,22,18,0,22,2,0,2,5,4,3,0.326086956,"16285"
2016,"Francisco Mejia","CLE","A",20,60,239,259,83,56,17,3,7,41,51,15,3,39,1,3,1,7,1,0,0.347280334,"16403"
2016,"Sergio Alcantara","ARI","A",19,53,180,201,48,40,6,1,1,15,16,14,0,26,0,4,3,8,3,2,0.266666666,"16417"
2016,"Thairo Estrada","NYY","A",20,35,140,148,40,31,3,1,5,11,19,8,0,21,0,0,0,5,11,3,0.285714285,"16426"
2016,"Johneshwy Fargas","SFG","A",21,83,291,323,80,64,11,3,2,31,25,24,0,57,5,1,2,0,32,9,0.274914089,"16446"
2017,"Johneshwy Fargas","SFG","A",22,37,117,131,24,16,6,1,1,14,10,6,0,24,7,0,1,2,10,7,0.205128205,"16446"
2016,"Shed Long Jr.","CIN","A",20,94,335,389,94,58,24,1,11,47,45,44,0,85,5,1,4,4,16,3,0.280597014,"16542"
2016,"Kevin Padlo","TBR","A",19,115,414,509,95,54,22,3,16,71,66,79,1,134,7,6,2,10,14,9,0.229468599,"16593"
2016,"Brian O'Keefe","STL","A",22,101,357,420,92,52,25,2,13,50,63,52,0,78,7,4,0,13,1,1,0.257703081,"16680"
2017,"Brian O'Keefe","STL","A",23,97,373,411,97,62,20,0,15,43,46,34,0,89,1,3,0,14,7,3,0.260053619,"16680"
2016,"Joshua Fuentes","COL","A",23,28,93,108,37,19,14,0,4,18,20,4,0,22,5,2,4,1,2,4,0.397849462,"16885"
2017,"Jonah Heim","TBR","A",22,77,291,321,78,51,17,1,9,45,53,27,0,57,0,3,0,4,0,1,0.268041237,"16930"
2016,"Lane Thomas","TOR","A",20,81,282,332,61,39,14,1,7,50,27,45,0,107,3,0,2,4,17,5,0.216312056,"16939"
2016,"Derek Hill","DET","A",20,93,384,415,102,78,17,6,1,66,31,24,0,105,3,2,2,4,35,6,0.265625,"16947"
2017,"Derek Hill","DET","A",21,35,144,168,41,26,8,6,1,28,21,16,0,38,4,2,2,1,12,5,0.284722222,"16947"
2016,"Edmundo Sosa","STL","A",20,88,351,378,94,77,13,1,3,42,30,19,0,71,2,3,3,9,5,4,0.267806267,"17022"
2016,"Magneuris Sierra","STL","A",20,122,524,562,161,125,29,4,3,78,60,22,0,97,3,6,7,5,31,17,0.307251908,"17023"
2017,"Jose Herrera","ARI","A",20,58,221,238,46,30,15,0,1,14,22,16,0,32,0,1,0,6,0,0,0.208144796,"17040"
2018,"Jose Herrera","ARI","A",21,32,115,123,26,20,5,0,1,6,11,7,0,21,0,1,0,5,0,0,0.226086956,"17040"
2019,"Jose Herrera","ARI","A",22,51,169,208,47,29,13,1,4,23,28,35,1,33,0,4,0,6,2,1,0.278106508,"17040"
2016,"Miguel Gomez","SFG","A",23,66,267,285,99,73,17,1,8,41,43,12,2,25,3,2,1,10,3,2,0.370786516,"17075"
2017,"Meibrys Viloria","KCR","A",20,101,363,398,94,61,25,0,8,42,52,25,0,79,4,1,5,17,4,3,0.258953168,"17109"
2016,"Monte Harrison","MIL","A",20,75,267,298,59,41,11,1,6,34,37,20,0,97,8,1,2,4,8,3,0.220973782,"17216"
2017,"Monte Harrison","MIL","A",21,63,223,261,59,35,12,1,11,32,32,29,0,70,5,2,2,3,11,3,0.264573991,"17216"
2016,"Alex Jackson","SEA","A",20,92,333,381,81,49,20,1,11,43,55,34,1,103,11,2,1,4,2,1,0.243243243,"17276"
2016,"Luis Liberato","SEA","A",20,100,372,432,96,67,19,8,2,65,29,47,1,100,0,1,12,5,4,2,0.258064516,"17307"
2017,"Luis Liberato","SEA","A",21,57,191,223,44,24,5,9,6,34,22,23,0,51,0,3,6,1,5,4,0.230366492,"17307"
2016,"Michael Chavis","BOS","A",20,74,279,312,68,46,11,3,8,30,35,22,0,74,10,1,0,2,3,1,0.243727598,"17321"
