Season,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2016,"Webster Rivas","LAA","A",25,98,0.253333333,1.032258064,0.16,0.426666666,0.413333333,0.193548387,0,0.32467532,0.24675325,0.42857143,0.08544304,112,204,316,"14636"
2017,"Webster Rivas","SDP","A",26,78,0.272727272,1.333333333,0.222222222,0.444444444,0.333333333,0.222222222,0.055555555,0.48214286,0.16071429,0.35714286,0.10801394,119,168,287,"14636"
2016,"Gosuke Katoh","NYY","A",21,253,0.320261437,1.488888888,0.238095238,0.455782312,0.306122448,0.088888888,0.022222222,0.50967742,0.27096774,0.21935484,0.11554622,356,596,952,"15697"
2016,"Yonathan Daza","COL","A",22,516,0.361111111,1.508333333,0.234096692,0.460559796,0.305343511,0.116666666,0.025,0.44362745,0.24019608,0.31617647,0.108299,534,1165,1699,"15794"
2016,"Jose Godoy","STL","A",21,327,0.326771653,2.338709677,0.175298804,0.577689243,0.247011952,0.161290322,0.016129032,0.41472868,0.22868217,0.35658915,0.06530958,451,728,1179,"15808"
2016,"Luis Torrens","NYY","A",20,164,0.27027027,1.967741935,0.178571428,0.544642857,0.276785714,0.225806451,0.064516129,0.36842105,0.23684211,0.39473684,0.0849359,244,380,624,"15905"
2016,"Deivy Grullon","PHI","A",20,356,0.323404255,1.75,0.183406113,0.519650655,0.296943231,0.132352941,0.088235294,0.42323651,0.26970954,0.30705394,0.13749001,450,801,1251,"15988"
2016,"Michael Hermosillo","LAA","A",21,160,0.377192982,1.583333333,0.198275862,0.49137931,0.310344827,0.222222222,0.055555555,0.48305085,0.25423729,0.26271186,0.08717949,240,345,585,"16285"
2016,"Francisco Mejia","CLE","A",20,259,0.387755102,1.215384615,0.261538461,0.405128205,0.333333333,0.169230769,0.107692307,0.51470588,0.23039216,0.25490196,0.09602649,294,612,906,"16403"
2016,"Sergio Alcantara","ARI","A",19,201,0.299363057,1.283018867,0.219354838,0.438709677,0.341935483,0.245283018,0.018867924,0.5125,0.2,0.2875,0.06524823,257,448,705,"16417"
2016,"Thairo Estrada","NYY","A",20,148,0.307017543,1.771428571,0.184873949,0.521008403,0.294117647,0.285714285,0.142857142,0.44537815,0.19327731,0.36134454,0.08528785,162,307,469,"16426"
2016,"Johneshwy Fargas","SFG","A",21,323,0.334763948,1.156626506,0.225108225,0.415584415,0.359307359,0.397590361,0.024096385,0.45957447,0.18723404,0.35319149,0.09598604,412,734,1146,"16446"
2017,"Johneshwy Fargas","SFG","A",22,131,0.25,1.4,0.225806451,0.451612903,0.322580645,0.233333333,0.033333333,0.45744681,0.27659574,0.26595745,0.09865471,139,307,446,"16446"
2016,"Shed Long Jr.","CIN","A",20,389,0.345833333,1.1,0.222222222,0.407407407,0.37037037,0.177777777,0.122222222,0.4488189,0.26377953,0.28740157,0.12758851,578,919,1497,"16542"
2016,"Kevin Padlo","TBR","A",19,509,0.292592592,0.81512605,0.231316725,0.345195729,0.423487544,0.285714285,0.134453781,0.51048951,0.23776224,0.25174825,0.1024068,901,1218,2119,"16593"
2016,"Brian O'Keefe","STL","A",22,420,0.292592592,1.060869565,0.153571428,0.435714285,0.410714285,0.24347826,0.113043478,0.45229682,0.25441696,0.29328622,0.11928307,665,953,1618,"16680"
2017,"Brian O'Keefe","STL","A",23,411,0.301470588,1.145454545,0.154121863,0.451612903,0.394265232,0.2,0.136363636,0.43055556,0.29166667,0.27777778,0.10626703,560,908,1468,"16680"
2016,"Joshua Fuentes","COL","A",23,108,0.478260869,0.892857142,0.263888888,0.347222222,0.388888888,0.25,0.142857142,0.41333333,0.25333333,0.33333333,0.11849711,104,242,346,"16885"
2017,"Jonah Heim","TBR","A",22,321,0.302631578,1.4125,0.164502164,0.489177489,0.346320346,0.3875,0.1125,0.57383966,0.19831224,0.2278481,0.09479078,437,734,1171,"16930"
2016,"Lane Thomas","TOR","A",20,332,0.321428571,1.224137931,0.24117647,0.417647058,0.34117647,0.413793103,0.120689655,0.53107345,0.20903955,0.25988701,0.12324493,514,768,1282,"16939"
2016,"Derek Hill","DET","A",20,415,0.360714285,1.650602409,0.188191881,0.505535055,0.306273062,0.072289156,0.012048192,0.38028169,0.29929577,0.32042254,0.13341969,541,1003,1544,"16947"
2017,"Derek Hill","DET","A",21,168,0.373831775,0.88372093,0.235849056,0.358490566,0.405660377,0.139534883,0.023255813,0.37037037,0.34259259,0.28703704,0.08455285,229,386,615,"16947"
2016,"Edmundo Sosa","STL","A",20,378,0.325,1.522222222,0.180505415,0.494584837,0.324909747,0.166666666,0.033333333,0.41958042,0.22377622,0.35664336,0.13063063,463,869,1332,"17022"
2016,"Magneuris Sierra","STL","A",20,562,0.36744186,1.947368421,0.203791469,0.52606635,0.27014218,0.201754385,0.026315789,0.36734694,0.26530612,0.36734694,0.11880661,555,1322,1877,"17023"
2017,"Jose Herrera","ARI","A",20,238,0.238095238,1.012820512,0.151351351,0.427027027,0.421621621,0.269230769,0.012820512,0.5,0.19473684,0.30526316,0.06600249,311,492,803,"17040"
2018,"Jose Herrera","ARI","A",21,123,0.265957446,1,0.170212765,0.414893617,0.414893617,0.076923076,0.025641025,0.45263158,0.31578947,0.23157895,0.07048458,167,287,454,"17040"
2019,"Jose Herrera","ARI","A",22,208,0.31617647,0.825396825,0.166666666,0.376811594,0.456521739,0.206349206,0.063492063,0.44285714,0.28571429,0.27142857,0.06122449,372,461,833,"17040"
2016,"Miguel Gomez","SFG","A",23,285,0.38559322,1.563380281,0.244813278,0.460580912,0.294605809,0.197183098,0.112676056,0.42857143,0.31428571,0.25714286,0.09402655,294,610,904,"17075"
2017,"Meibrys Viloria","KCR","A",20,398,0.310469314,1.9875,0.146428571,0.567857142,0.285714285,0.1625,0.1,0.38408304,0.24567474,0.37024221,0.10140501,611,1026,1637,"17109"
2016,"Monte Harrison","MIL","A",20,298,0.321212121,1.436363636,0.202380952,0.470238095,0.327380952,0.236363636,0.109090909,0.46242775,0.26011561,0.27745665,0.17367459,383,711,1094,"17216"
2017,"Monte Harrison","MIL","A",21,261,0.333333333,1.264150943,0.194630872,0.449664429,0.355704697,0.207547169,0.207547169,0.5,0.25,0.25,0.14803922,389,631,1020,"17216"
2016,"Alex Jackson","SEA","A",20,381,0.316742081,0.925531914,0.195555555,0.386666666,0.417777777,0.212765957,0.117021276,0.42978723,0.27659574,0.29361702,0.15853659,535,941,1476,"17276"
2016,"Luis Liberato","SEA","A",20,432,0.346863468,2.142857142,0.163498098,0.570342205,0.266159695,0.171428571,0.028571428,0.40070922,0.28723404,0.31205674,0.09096573,617,988,1605,"17307"
2017,"Luis Liberato","SEA","A",21,223,0.277372262,0.904761904,0.136690647,0.410071942,0.45323741,0.158730158,0.095238095,0.39189189,0.33783784,0.27027027,0.13070284,310,501,811,"17307"
2016,"Michael Chavis","BOS","A",20,312,0.303030303,1.076923076,0.19402985,0.417910447,0.388059701,0.205128205,0.102564102,0.48803828,0.19617225,0.31578947,0.14042553,429,746,1175,"17321"
2016,"Cole Tucker","PIT","A",19,67,0.294117647,1.105263157,0.183673469,0.428571428,0.387755102,0.052631578,0.052631578,0.27777778,0.24074074,0.48148148,0.08366534,86,165,251,"17326"
2016,"Willi Castro","CLE","A",19,548,0.302380952,1.314285714,0.219277108,0.443373493,0.337349397,0.285714285,0.05,0.49768519,0.21759259,0.28472222,0.11334056,552,1292,1844,"17338"
2016,"Yermin Mercedes","BAL","A",23,382,0.395522388,0.782608695,0.251824817,0.328467153,0.419708029,0.156521739,0.12173913,0.47535211,0.28873239,0.23591549,0.10395708,563,928,1491,"17423"
2016,"Jose Siri","CIN","A",20,87,0.24,0.956521739,0.081632653,0.448979591,0.469387755,0.217391304,0,0.5,0.28,0.22,0.19452888,99,230,329,"17452"
2017,"Jose Siri","CIN","A",21,552,0.348571428,0.980392156,0.17438692,0.408719346,0.416893732,0.189542483,0.156862745,0.4,0.28421053,0.31578947,0.17849576,595,1293,1888,"17452"
